TITLE="Integrated loads convergence history"
VARIABLES="R-time", "P-Time", "Fn_x", "Fn_y", "Fn_z", "Mn_x", "Mn_y", "Mn_z", "Ft_x", "Ft_y", "Ft_z", "Mt_x", "Mt_y", "Mt_z"
ZONE T="WALL"
     13     10 -0.19741980E-03  0.94124768E-04  0.26633381E-02  0.18687882E-02 -0.31500926E-02  0.25022053E-03 -0.72974912E-04  0.17713115E-04 -0.11249899E-04 -0.75405143E-05  0.13043807E-04  0.70977731E-04
     13     20 -0.19681876E-03  0.94272139E-04  0.26641987E-02  0.18693900E-02 -0.31514539E-02  0.25000072E-03 -0.72426546E-04  0.17655374E-04 -0.11156086E-04 -0.74773870E-05  0.12932369E-04  0.70529998E-04
     13     30 -0.19416355E-03  0.94164768E-04  0.26786564E-02  0.18749304E-02 -0.31693404E-02  0.24725129E-03 -0.71347784E-04  0.17530853E-04 -0.11007951E-04 -0.73731683E-05  0.12756220E-04  0.69635391E-04
     13     40 -0.18886874E-03  0.93670982E-04  0.26683418E-02  0.18701521E-02 -0.31589873E-02  0.24330011E-03 -0.70107127E-04  0.17374528E-04 -0.10831814E-04 -0.72498315E-05  0.12548062E-04  0.68594114E-04
     13     50 -0.18638331E-03  0.93535629E-04  0.26592115E-02  0.18658552E-02 -0.31488346E-02  0.24177501E-03 -0.68926972E-04  0.17229942E-04 -0.10645882E-04 -0.71221303E-05  0.12328499E-04  0.67609046E-04
     14     10 -0.18433679E-03  0.96841942E-04  0.26582861E-02  0.18582509E-02 -0.31803024E-02  0.24499450E-03 -0.68395968E-04  0.18412110E-04 -0.10611104E-04 -0.70743066E-05  0.12411038E-04  0.68678361E-04
     14     20 -0.18280392E-03  0.96711898E-04  0.26532176E-02  0.18548528E-02 -0.31746426E-02  0.24380412E-03 -0.67918630E-04  0.18329688E-04 -0.10551754E-04 -0.70351860E-05  0.12339098E-04  0.68251766E-04
     14     30 -0.17526028E-03  0.95308344E-04  0.26322383E-02  0.18361406E-02 -0.31509836E-02  0.23624684E-03 -0.66984457E-04  0.18178314E-04 -0.10400564E-04 -0.69302175E-05  0.12158375E-04  0.67427327E-04
     14     40 -0.17005354E-03  0.94490500E-04  0.26229011E-02  0.18319419E-02 -0.31411904E-02  0.23196161E-03 -0.65899907E-04  0.18014977E-04 -0.10233059E-04 -0.68133421E-05  0.11958981E-04  0.66487229E-04
     14     50 -0.16804627E-03  0.94255518E-04  0.26188595E-02  0.18312889E-02 -0.31367228E-02  0.23061090E-03 -0.64867295E-04  0.17848193E-04 -0.10067450E-04 -0.67007747E-05  0.11761644E-04  0.65579615E-04
     15     10 -0.16605304E-03  0.97189869E-04  0.26185486E-02  0.18235974E-02 -0.31682822E-02  0.23347969E-03 -0.64354501E-04  0.18947704E-04 -0.10036644E-04 -0.66553354E-05  0.11841258E-04  0.66581671E-04
     15     20 -0.16443088E-03  0.96914539E-04  0.26117820E-02  0.18190590E-02 -0.31604372E-02  0.23205133E-03 -0.63936785E-04  0.18853321E-04 -0.99949043E-05 -0.66285205E-05  0.11789903E-04  0.66182630E-04
     15     30 -0.15608683E-03  0.94995075E-04  0.25792242E-02  0.17928958E-02 -0.31224105E-02  0.22350389E-03 -0.63123148E-04  0.18687028E-04 -0.98491741E-05 -0.65281744E-05  0.11614287E-04  0.65425683E-04
     15     40 -0.15202584E-03  0.94105360E-04  0.25735808E-02  0.17910365E-02 -0.31164890E-02  0.21996357E-03 -0.62166929E-04  0.18521634E-04 -0.96925290E-05 -0.64191124E-05  0.11426057E-04  0.64572917E-04
     15     50 -0.15072930E-03  0.93864050E-04  0.25736537E-02  0.17931437E-02 -0.31167530E-02  0.21907584E-03 -0.61257512E-04  0.18335029E-04 -0.95459735E-05 -0.63201303E-05  0.11249564E-04  0.63727797E-04
     16     10 -0.14885183E-03  0.96452781E-04  0.25737956E-02  0.17852846E-02 -0.31481719E-02  0.22165280E-03 -0.60759212E-04  0.19368088E-04 -0.95188997E-05 -0.62769081E-05  0.11326701E-04  0.64676149E-04
     16     20 -0.14768382E-03  0.96165149E-04  0.25684156E-02  0.17817640E-02 -0.31418211E-02  0.22053105E-03 -0.60388179E-04  0.19283945E-04 -0.94819268E-05 -0.62531632E-05  0.11280900E-04  0.64321620E-04
     16     30 -0.14125551E-03  0.94442554E-04  0.25419484E-02  0.17609039E-02 -0.31104461E-02  0.21377808E-03 -0.59669057E-04  0.19128994E-04 -0.93506611E-05 -0.61631627E-05  0.11120885E-04  0.63644624E-04
